strategy,symbol,signal_ms,entry_ms,exit_ms,direction,signal_score,entry_price,exit_price,stop_price,target_price,initial_stop_pips,exit_reason,gross_pips,net_pips_a,net_pips_b,net_r_a,net_r_b
PRIMARY,GBPUSD,1628852400000,1628853300000,1628853300000,-1,-15.445594727125117,1.38036,1.3798849999999998,1.3805975000000001,1.3798849999999998,2.3750000000011258,target,4.750000000002252,3.9500000000022526,3.5500000000022522,1.6631578947370023,1.494736842105503
PRIMARY,GBPUSD,1628853300000,1628854200000,1628854200000,-1,-11.866817889396703,1.37979,1.3792250000000001,1.3800725,1.3792250000000001,2.8249999999996334,target,5.649999999999267,4.849999999999267,4.4499999999992665,1.7168141592919988,1.5752212389379978
PRIMARY,GBPUSD,1628855100000,1628856000000,1628856000000,1,3.0446558224213884,1.38005,1.3804450000000001,1.3798525,1.3804450000000001,1.9750000000007264,target,3.9500000000014523,3.1500000000014525,2.750000000001452,1.5949367088609083,1.3924050632913625
PRIMARY,GBPUSD,1628856000000,1628856900000,1628856900000,1,14.181978805457224,1.38032,1.380195,1.380195,1.38057,1.2500000000004174,stop,-1.2499999999993072,-2.049999999999307,-2.4499999999993074,-1.639999999998898,-1.9599999999987914
PRIMARY,GBPUSD,1628859600000,1628860500000,1628860500000,-1,-6.188919459915813,1.3795,1.3799324999999998,1.3799324999999998,1.378635,4.324999999999468,stop,-4.324999999998358,-5.124999999998358,-5.524999999998358,-1.184971098265662,-1.2774566473986213
PRIMARY,GBPUSD,1628865000000,1628865900000,1628867700000,1,7.470528263751694,1.38231,1.38249,1.3817249999999999,1.38348,5.850000000000577,time_stop,1.80000000000069,1.00000000000069,0.60000000000069,0.170940170940272,0.10256410256421039
PRIMARY,GBPUSD,1628888400000,1628889300000,1628890200000,-1,-6.036765213747237,1.38715,1.386865,1.3872925,1.386865,1.4250000000004537,target,2.8500000000009074,2.0500000000009075,1.6500000000009074,1.438596491228249,1.1578947368423733
PRIMARY,GBPUSD,1628890200000,1628891100000,1628891100000,-1,-6.7354300742721644,1.3867099999999999,1.3868675,1.3868675,1.3863949999999998,1.5750000000003261,stop,-1.5750000000003261,-2.375000000000326,-2.7750000000003263,-1.5079365079364027,-1.7619047619046042
PRIMARY,EURUSD,1629079200000,1629080100000,1629080100000,1,2.8285595740732665,1.17958,1.1794775000000002,1.1794775000000002,1.1797849999999999,1.0249999999989434,stop,-1.0249999999989434,-1.8249999999989435,-2.2249999999989436,-1.7804878048788533,-2.1707317073182804
PRIMARY,GBPUSD,1629079200000,1629080100000,1629080100000,1,7.8342041242440645,1.38687,1.3867975000000001,1.3867975000000001,1.387015,0.7250000000003087,stop,-0.7249999999991985,-1.5249999999991986,-1.9249999999991985,-2.103448275860068,-2.655172413790867
PRIMARY,GBPUSD,1629080100000,1629081000000,1629081000000,-1,-9.95481284553523,1.38652,1.3866450000000001,1.3866450000000001,1.38627,1.2500000000004174,stop,-1.2500000000015277,-2.0500000000015275,-2.450000000001528,-1.6400000000006743,-1.9600000000005677
