case_id,sample_rank,position_id,entry_time_utc,decision_time_utc,direction,direction_label,entry,sl,tp,exit_time_utc,exit,reason,label,net_account,net_R,volume,risk_points,initial_risk_account,hold_minutes,entry_year
R100_077_PID000000226,77,226,2020-09-24T03:15:00,2020-09-24T03:10:00,1,BUY,1.16672,1.16559,1.16898,2020-09-24T05:15:00,1.16612,TIMEOUT_OR_OTHER,LOSS_NET_NONPOSITIVE,-5.12000000,-0.5663716814,0.08,113.0,9.04,120.0000,2020
R100_078_PID000000488,78,488,2022-08-01T03:40:00,2022-08-01T03:35:00,1,BUY,1.02186,1.0215,1.02258,2022-08-01T04:06:39,1.0226,TP_LIKE,WIN_NET_POSITIVE,18.90000000,1.9444444444,0.27,36.0,9.72,26.6500,2022
R100_079_PID000000510,79,510,2022-10-04T03:20:00,2022-10-04T03:15:00,-1,SELL,0.983,0.98389,0.98122,2022-10-04T04:59:42,0.98122,TP_LIKE,WIN_NET_POSITIVE,19.14000000,1.9550561798,0.11,89.0,9.79,99.7000,2022
R100_080_PID000000470,80,470,2022-06-21T03:20:00,2022-06-21T03:15:00,1,BUY,1.05192,1.05158,1.0526,2022-06-21T03:29:15,1.05262,TP_LIKE,WIN_NET_POSITIVE,19.14000000,1.9411764706,0.29,34.0,9.86,9.2500,2022
R100_081_PID000000164,81,164,2020-04-15T03:15:00,2020-04-15T03:10:00,-1,SELL,1.0981,1.09839,1.09752,2020-04-15T03:55:05,1.09839,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.22000000,-1.1379310345,0.34,29.0,9.86,40.0833,2020
R100_082_PID000000264,82,264,2020-12-21T02:20:00,2020-12-21T02:15:00,-1,SELL,1.22063,1.22147,1.21895,2020-12-21T02:33:27,1.22147,SL_LIKE,LOSS_NET_NONPOSITIVE,-9.68000000,-1.0476190476,0.11,84.0,9.24,13.4500,2020
R100_083_PID000000312,83,312,2021-03-22T01:15:00,2021-03-22T01:10:00,1,BUY,1.189,1.18834,1.19032,2021-03-22T01:54:26,1.18833,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.65000000,-1.0757575758,0.15,66.0,9.9,39.4333,2021
R100_084_PID000000348,84,348,2021-06-16T03:50:00,2021-06-16T03:45:00,1,BUY,1.2126,1.21247,1.21286,2021-06-16T03:51:25,1.21247,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.92000000,-1.3076923077,0.76,13.0,9.88,1.4167,2021
R100_085_PID000000458,85,458,2022-05-09T03:25:00,2022-05-09T03:20:00,-1,SELL,1.05289,1.05339,1.05189,2022-05-09T03:59:02,1.05188,TP_LIKE,WIN_NET_POSITIVE,18.43000000,1.9400000000,0.19,50.0,9.5,34.0333,2022
R100_086_PID000000102,86,102,2019-11-14T02:25:00,2019-11-14T02:20:00,1,BUY,1.10104,1.10088,1.10136,2019-11-14T02:30:14,1.10088,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.40000000,-1.2500000000,0.62,16.0,9.92,5.2333,2019
R100_087_PID000000148,87,148,2020-03-19T02:45:00,2020-03-19T02:40:00,-1,SELL,1.09234,1.09379,1.08944,2020-03-19T03:10:15,1.08943,TP_LIKE,WIN_NET_POSITIVE,17.22000000,1.9793103448,0.06,145.0,8.7,25.2500,2020
R100_088_PID000000040,88,40,2019-06-13T03:30:00,2019-06-13T03:25:00,1,BUY,1.12951,1.12924,1.13005,2019-06-13T03:51:30,1.12924,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.47000000,-1.1481481481,0.37,27.0,9.99,21.5000,2019
R100_089_PID000000440,89,440,2022-04-05T03:15:00,2022-04-05T03:10:00,1,BUY,1.0976,1.09726,1.09828,2022-04-05T03:16:39,1.09725,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.31000000,-1.1470588235,0.29,34.0,9.86,1.6500,2022
R100_090_PID000000042,90,42,2019-06-17T00:50:00,2019-06-17T00:45:00,1,BUY,1.12138,1.12103,1.12208,2019-06-17T00:59:36,1.12101,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.48000000,-1.1714285714,0.28,35.0,9.8,9.6000,2019
R100_091_PID000000254,91,254,2020-12-04T03:15:00,2020-12-04T03:10:00,1,BUY,1.21479,1.21444,1.21549,2020-12-04T03:33:36,1.21443,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.20000000,-1.1428571429,0.28,35.0,9.8,18.6000,2020
R100_092_PID000000460,92,460,2022-05-16T04:40:00,2022-05-16T04:35:00,1,BUY,1.0406,1.04015,1.0415,2022-05-16T04:48:33,1.04014,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.00000000,-1.1111111111,0.22,45.0,9.9,8.5500,2022
R100_093_PID000000096,93,96,2019-10-09T04:00:00,2019-10-09T03:55:00,-1,SELL,1.09577,1.09594,1.09543,2019-10-09T04:13:16,1.09594,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.18000000,-1.2352941176,0.58,17.0,9.86,13.2667,2019
R100_094_PID000000176,94,176,2020-06-02T03:25:00,2020-06-02T03:20:00,1,BUY,1.11332,1.11253,1.1149,2020-06-02T04:52:28,1.11253,SL_LIKE,LOSS_NET_NONPOSITIVE,-9.96000000,-1.0506329114,0.12,79.0,9.48,87.4667,2020
