position_id,engine_name,outcome,net_r,conservative_mfe_r,conservative_mae_r,reached_0_25r,reached_0_50r,reached_1_00r
540,TREND_LONG,LOSS,-1.04494382,0.3370786516853344,1.0,True,False,False
542,TREND_SHORT,WIN,1.56190476,1.5999999999999155,0.6666666666668076,True,True,True
544,BREAKOUT_LONG,LOSS,-1.14814815,0.7037037037033991,1.0,True,True,False
546,TREND_SHORT,WIN,1.46666667,1.5047619047618301,0.580952380952383,True,True,True
548,TREND_SHORT,WIN,0.50505051,0.8484848484849844,0.49494949494935,True,True,False
550,BREAKOUT_SHORT,LOSS,-1.19230769,0.30769230769270184,1.0384615384618012,True,False,False
552,TREND_SHORT,LOSS,-1.07407407,0.22222222222245067,1.0,False,False,False
554,RANGE_SHORT,LOSS,-1.2173913,0.3478260869569415,1.043478260869859,True,False,False
556,BREAKOUT_LONG,WIN,1.35483871,1.4838709677432524,0.3225806451614521,True,True,True
558,TREND_LONG,LOSS,-1.05555556,0.2222222222222222,1.0111111111111852,False,False,False
560,RANGE_LONG,LOSS,-1.11904762,0.8095238095240864,1.0238095238096874,True,True,False
562,BREAKOUT_LONG,LOSS,-1.02919708,0.0,1.0,False,False,False
564,TREND_LONG,WIN,1.47619048,1.5079365079364715,0.5238095238095909,True,True,True
566,BREAKOUT_SHORT,LOSS,-1.0862069,0.0,1.0172413793100743,False,False,False
568,RANGE_SHORT,LOSS,-1.02919708,0.0,1.0,False,False,False
570,TREND_LONG,WIN,1.4911032,1.5053380782916914,0.11032028469751255,True,True,True
572,TREND_LONG,WIN,0.44135802,0.7870370370369526,0.7345679012345531,True,True,False
574,TREND_LONG,LOSS,-1.02392344,0.765550239234499,1.0047846889952468,True,True,False
576,TREND_SHORT,WIN,1.48175182,1.4963503649635201,0.4452554744525601,True,True,True
578,BREAKOUT_SHORT,WIN,1.47881356,1.4957627118643322,0.8432203389829739,True,True,True
580,BREAKOUT_LONG,WIN,1.47826087,1.5,0.41304347826078563,True,True,True
582,BREAKOUT_LONG,WIN,1.48680352,1.4985337243401988,0.13196480938418562,True,True,True
584,TREND_LONG,LOSS,-1.01223242,0.19266055045868133,1.0,False,False,False
586,TREND_LONG,LOSS,-1.01481481,0.5074074074074562,1.0,True,True,False
588,TREND_SHORT,WIN,0.50155763,0.7227414330218526,0.39563862928346044,True,True,False
590,TREND_SHORT,WIN,1.49433962,1.5094339622641288,0.1584905660377662,True,True,True
592,TREND_SHORT,WIN,0.02769231,0.3323076923076856,0.6553846153846097,True,False,False
594,RANGE_LONG,LOSS,-1.04040404,0.0,1.0,False,False,False
596,TREND_LONG,LOSS,-1.02259887,0.011299435028323715,1.0,False,False,False
598,TREND_LONG,LOSS,-1.171875,0.7343750000003307,1.109375000000027,True,True,False
600,TREND_LONG,LOSS,-1.03305785,0.08264462809915384,1.0,False,False,False
602,TREND_SHORT,WIN,1.47953216,1.5029239766082714,0.0,True,True,True
604,TREND_SHORT,LOSS,-1.03141361,0.11518324607336416,1.010471204188551,False,False,False
606,BREAKOUT_SHORT,WIN,1.58333333,1.638888888888709,0.0,True,True,True
608,TREND_LONG,WIN,1.43835616,1.493150684931311,0.041095890410917234,True,True,True
610,RANGE_SHORT,LOSS,-1.04938272,0.0,1.0,False,False,False
612,BREAKOUT_SHORT,LOSS,-1.05797101,0.20289855072465635,1.0,False,False,False
614,TREND_LONG,LOSS,-1.02409639,0.22289156626504977,1.0,False,False,False
616,BREAKOUT_SHORT,LOSS,-1.05633803,0.0,1.0,False,False,False
